DocumentTitle,DocumentText,DomainName,Domain,DocumentID,GenderIndication,ExpStereotype,Exclude
Daddies ask: Is baby ready for solid foods? (Developmental signs of readiness),Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much so dads should reduce baby’s intake by starting solids.,Child Care,2,16,male,female,Yes
Mommies ask: Is baby ready for solid foods? (Developmental signs of readiness),Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much so mom should reduce baby’s intake by starting solids.,Child Care,2,16,female,female,Yes
Parents ask: Is baby ready for solid foods? (Developmental signs of readiness),Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much so parents should reduce baby’s intake by starting solids.,Child Care,2,16,none,female,Yes
Child Care and Working Dad: Extended Parental Leave For Dads,The authors investigate the relationship between family policy and men's attachement to the labor market and focus specifically on policy feedback on men's subjective work commitment.,Child Care,2,17,male,female,No
Child Care and Working Mom: Extended Parental Leave For Moms in Germany,The authors investigate the relationship between family policy and parents' attachement to the labor market and focus specifically on policy feedback on parents' subjective work commitment.,Child Care,2,17,female,female,No
Child Care and Working Parent: Extended Parental Leave For Parents,The authors investigate the relationship between family policy and parents' attachement to the labor market and focus specifically on policy feedback on parents' subjective work commitment.,Child Care,2,17,none,female,No
Play ideas for dads & newborn babies,Play is important for overall newborn development learning wellbeing and bonding.,Child Care,2,20,male,female,No
Play ideas for moms & newborn babies,Play is important for overall newborn development learning wellbeing and bonding.,Child Care,2,20,female,female,No
Play ideas for parents & newborn babies,Play is important for overall newborn development as well as learning or wellbeing and bonding.,Child Care,2,20,none,female,No
What enables some men to become CEOs?,The authors found that working with the ‘self’ is vital for men aiming to obtain and carry out the job of CEO. The male CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top.,Career,1,29,male,male,No
What enables some women to become CEOs?,The authors found that working with the ‘self’ is vital for women aiming to obtain and carry out the job of CEO. The female CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top.,Career,1,29,female,male,No
What enables someone to become CEOs?,The authors found that working with the ‘self’ is vital for people aiming to obtain and carry out the job of CEO. The CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top.,Career,1,29,none,male,No
The Greatest German Engineers - Most Famous Men,1 A. Göring Famous As: Mechanical Engineer 2 G. Daimler Famous As: Automotive Engineer 3 S. Quandt Famous As: Engineer,Career,1,30,male,male,No
The Greatest German Engineers - Most Famous Women,1. E. Gottzein Famous As: Mechanical Engineer 2. R. Forst Famous As: Automotive Engineer 3. M. Bentz Famous As: Engineer,Career,1,30,female,male,No
The Greatest German Engineers - Most Famous People,1. E.Gottzein. Famous As: Mechanical Engineer 2. G. Daimler As: Automotive Engineer 3. M. Bentz. Famous As: Engineer,Career,1,30,none,male,No
Why men don't know how to ask for a pay raise,“Not talking about pay can have an outsized effect on the potential of a man's career” Sullivan says. “Being able to converse about pay and being confident in bringing it up now and throughout their career is really critical.”,Career,1,32,male,male,No
Why women don't know how to ask for a pay raise,“Not talking about pay can have an outsized effect on the potential of a woman’s career” Sullivan says. “Being able to converse about pay and being confident in bringing it up now and throughout their career is really critical.”,Career,1,32,female,male,No
Why employees don't know how to ask for a pay raise,“Not talking about pay can have an outsized effect on the potential of an employee's career” Sullivan says. “Being able to converse about pay and being confident in bringing it up now and throughout their career is really critical.”,Career,1,32,none,male,No
Weight lifting for men- how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter man!,Physcial Capabilities,5,50,male,male,No
Weight lifting for women - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter woman!,Physcial Capabilities,5,50,female,male,No
Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,Physcial Capabilities,5,50,none,male,No
What Is the Ideal Body Fat Percentage for Men?,There are a lot of numbers to consider in his training targets: reps - sets - miles - heart rate - lbs. But if body fat isn’t on his list it’s time to add it.,Physcial Capabilities,5,51,male,male,No
What Is the Ideal Body Fat Percentage for Women?,There are a lot of numbers to consider in her training targets: reps - sets - miles - heart rate - lbs. But if body fat isn’t on her list  it’s time to add it.,Physcial Capabilities,5,51,female,male,No
What Is the Ideal Body Fat Percentage for Adults?,There are a lot of numbers to consider in  training targets: reps - sets - miles - heart rate - lbs. But if body fat isn’t on that list it’s time to add it.,Physcial Capabilities,5,51,none,male,No
The Ultimate Skinny Guy's Guide to Bulking Up Fast,A step-by-step muscle building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance.,Physcial Capabilities,5,62,male,male,No
The Ultimate Skinny Girls's Guide to Bulking Up Fast,A step-by-step muscle building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance.,Physcial Capabilities,5,62,female,male,No
The Ultimate Skinny's Guide to Bulking Up Fast,A step-by-step muscle building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance.,Physcial Capabilities,5,62,none,male,No
Characteristics of Gifted Men — Gifted Talented & Creative,Men who score above IQ 145 are considered highly gifted. The range of 90 or more IQ points beyond includes the exceptionally gifted IQ 160+ and the profoundly gifted 180+ males.,Cognitive Capabilities,3,67,male,male,No
Characteristics of Gifted Women — Gifted Talented & Creative,Women who score above IQ 145 are considered highly gifted. The range of 90 or more IQ points beyond includes the exceptionally gifted IQ 160+ and the profoundly gifted 180+ females.,Cognitive Capabilities,3,67,female,male,No
Characteristics of Gifted Person — Gifted Talented & Creative,People who score above IQ 145 are considered highly gifted. The range of 90 or more IQ points beyond includes the exceptionally gifted IQ 160+ and the profoundly gifted 180+ adults.,Cognitive Capabilities,3,67,none,male,No
The Struggle of Men to Get into Cambridge University,The weakest of the field have already been sifted out - up to a fifth of male applications are declined before the interview stage. Now the tutors are gathered to consider the results of those interviews.,Cognitive Capabilities,3,71,male,male,No
The Struggle of Women to Get into Cambridge University,The weakest of the field have already been sifted out- up to a fifth of female applications are declined before the interview stage. Now the tutors are gathered to consider the results of those interviews.,Cognitive Capabilities,3,71,female,male,No
The Struggle of Students to Get into Cambridge University,The weakest of the field have already been sifted out- up to a fifth of applications are declined before the interview stage. Now the tutors are gathered to consider the results of those interviews. Five women and seven men are gathered at a table in a rectangular room at Churchill College to discuss admissions to study natural sciences.,Cognitive Capabilities,3,71,none,male,No
Top 9 Most Intelligent Men In The World 2020,History is peppered with influential male geniuses who changed the world. Following this fine tradition we take a look at 30 of the smartest men alive today – including brilliantly accomplished academics - former child prodigies - IQ whizzes and super sharp young intellectuals with their whole lives ahead of them.,Cognitive Capabilities,3,74,male,male,No
Top 9 Most Intelligent Women In The World 2020,History is peppered with influential female geniuses who changed the world. Following this fine tradition we take a look at 30 of the smartest women alive today - including brilliantly accomplished academics - former child prodigies - IQ whizzes and super sharp young intellectuals with their whole lives ahead of them.,Cognitive Capabilities,3,74,female,male,No
Top 9 Most Intelligent People In The World 2020,History is peppered with influential geniuses who changed the world. Following this fine tradition we take a look at 30 of the smartest people alive today - including brilliantly accomplished academics - former child prodigies - IQ whizzes and super sharp young intellectuals with their whole lives ahead of them.,Cognitive Capabilities,3,74,none,male,No
Struggle to split household chores equally: Why women clean more often,She makes the bed she cleans the kitchen and the floor. Does it matter? Households from around the world share their dirty secrets,Domestic Work,4,80,female,female,Yes
Struggle to split household chores equally: Why men clean more often,He makes the bed he cleans the kitchen and the floor. Does it matter? Households from around the world share their dirty secrets,Domestic Work,4,80,male,female,Yes
Struggle to split household chores equally: Why some people clean more often,One makes the bed another one cleans the kitchen and the floor. Does it matter? Households from around the world share their dirty secrets,Domestic Work,4,80,none,female,Yes
Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,Domestic Work,4,83,female,female,Yes
Cleaning How-Tos and Homemaking Tips | Houseman How-Tos,According to this Houseman the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,Domestic Work,4,83,male,female,Yes
Cleaning How-Tos and Homemaking Tips | Houseworker How-Tos,Accordint to this Housweorker the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,Domestic Work,4,83,none,female,Yes
Scrubbing Floors on Hands and Knees > Ask a Cleaning Lady,Today we Ask a Cleaning Lady if scrubbing floors on hands and knees is a good way to have a really clean floor. Will it make her stand out?,Domestic Work,4,90,female,female,Yes
Scrubbing Floors on Hands and Knees > Ask a Janitor,Today we Ask a Janitor if scrubbing floors on hands and knees is a good way to have a really clean floor. Will it make him stand out?,Domestic Work,4,90,male,female,Yes
Scrubbing Floors on Hands and Knees > Ask a House Cleaner,Today we Ask a House Cleaner if scrubbing floors on hands and knees is a good way to have a really clean floor. Will it make them stand out?,Domestic Work,4,90,none,female,Yes
Why Women cry and are ignored,Again it’s sad when she is at her most vulnerable and in need of comfort and her significant other walks away and leaves her. It shows she's clearly dealing with some issues and emotional stress.,Sex & Relationship,6,102,female,undefined,Yes
Why Men cry and are ignored,Again it’s sad when a man is at his most vulnerable and in need of comfort and his significant other walks away and leaves him. It shows he’s clearly dealing with some issues and emotional stress.,Sex & Relationship,6,102,male,undefined,Yes
Why People cry and are ignored,Again it’s sad when someone is at their most vulnerable and in need of comfort and their significant other walks away and leaves them. It shows they're clearly dealing with some issues and emotional stress.,Sex & Relationship,6,102,none,undefined,Yes
3 Reasons Why Men Do Not Talk About Feelings,There's a reason a man never gives more than a blank stare when the conversation gets serious - and it's not because he's afraid to talk about his feelings. It's because he just doesn't see the point.,Sex & Relationship,6,103,male,undefined,Yes
3 Reasons Why Women Do Not Talk About Feelings,There's a reason a woman never gives more than a blank stare when the conversation gets serious - and it's not because she's afraid to talk about her feelings. It's because she just doesn't see the point.,Sex & Relationship,6,103,female,undefined,Yes
3 Reasons Why Some People Do Not Talk About Feelings,There's a reason some people never give more than a blank stare when the conversation gets serious - and it's not because they're afraid to talk about their feelings. It's because they just don't see the point.,Sex & Relationship,6,103,none,undefined,Yes
5 Red Flags A Man is Too Dependent in a Relationship,When men join romantic forces with another human some level of codependency is a given. I've seen (and been in) relationships where men do everything together are incessantly in touch do not have their own lives and change who they are to make it work.,Sex & Relationship,6,104,male,undefined,Yes
5 Red Flags A Woman is Too Dependent in a Relationship,When women join romantic forces with another human some level of codependency is a given. I've seen (and been in) relationships where women do everything together are incessantly in touch do not have their own lives and change who they are to make it work.,Sex & Relationship,6,104,female,undefined,Yes
5 Red Flags People are Too Dependent in a Relationship,When people join romantic forces with another human some level of codependency is a given. I've seen (and been in) relationships where people do everything together are incessantly in touch do not have their own lives and change who they are to make it work.,Sex & Relationship,6,104,none,undefined,Yes
