ParticipantId,ParticipantGender,Condition,Domain,DocumentId,GenderIndication,ExpStereotype,Query,Label
M269,f,C,0,5,m,f,Famous male plus size models,m
M167,m,E,0,5,m,f,most famous plus size male models,m
M059,f,C,0,5,m,f,Male plus size models ,m
M344,f,E,0,5,m,f,Are there any male plus size models?,m
M119,f,E,0,5,m,f,Male plus size models,m
M385,m,C,0,5,m,f,Plus size male models,m
M146,m,C,0,5,m,f,Famous plus size make models,m
M020,m,C,0,5,m,f,Male plus size models,m
M202,f,C,0,5,m,f,Top world famous male models plus size,m
M248,m,E,0,5,m,f,body positive models,n
M263,m,C,0,5,m,f,famous male plus size models,m
M282,f,C,0,5,m,f,male plus size models,m
M360,m,C,0,5,m,f,Male plus sized models 2022,m
M158,m,E,0,5,m,f,Top 23 world famous male plus size models in 2022,m
M048,m,E,0,5,m,f,Top Famous Male Plus Size Models Of 2022 ,m
M236,m,C,0,5,m,f,Top plus size male models 2022,m
M331,m,E,0,5,m,f,Top Male Models 2022 Plus Size,m
M072,m,C,0,5,m,f,Top famous plus size men 2022,m
M338,f,E,0,5,m,f,Are there male plus size models?,m
M203,f,C,0,5,m,f,Who are the most famous plus sized Morels,n
M357,f,E,0,5,m,f,Plus sized male models,m
M210,m,C,0,5,m,f,list 23 world famouse plus size males,m
M178,m,E,0,5,m,f,Male Plus Size Models 2022,m
M237,m,C,0,5,m,f,List of famous plus size male models 2002 top 25,m
M332,m,C,0,5,m,f,Muscly Stupid Men,m
M339,m,C,0,5,m,f,famous plus size male models,m
M043,m,C,0,5,m,f,Famous heavyweight models,n
M198,m,C,0,5,m,f,Top plus size male models,m
M289,m,C,0,5,m,f,Male plus size models,m
M374,m,C,0,5,m,f,Top World Famous Male Plus Size Models Of 2022,m
M176,m,E,0,5,m,f,Messi ,r
M368,m,E,0,5,m,f,2022 male plus size models,m
M040,m,C,0,5,m,f,male plus size models,m
M299,m,C,0,5,m,f,male plus sized models 2022,m
M359,m,C,0,5,m,f,Celebrity fitness plans,n
M185,m,C,0,5,m,f,Famous plus size males,m
M347,m,E,0,5,m,f,male plus size models 2022,m
M150,m,E,0,5,m,f,Plus size men ,m
M164,m,C,0,5,m,f,Famous fat men models,m
M213,m,C,0,5,m,f,Plus sized male models,m
M322,m,C,0,5,m,f,Famous male plus models,m
M396,m,C,0,5,m,f,Famous big males ,m
M271,m,E,0,5,m,f,empowerment male role models 2022 ,m
M123,m,E,0,5,m,f,Top famous plus size make moodels,m
M330,m,C,0,5,m,f,Who are the most famous male plus size models 2022,m
M061,f,E,0,5,m,f,male plus size models,m
M023,m,E,0,5,m,f,Who are currently the most famous plus size male models?,m
M125,f,C,0,5,m,f,famous male models 2022,m
M016,f,C,0,5,m,f,male plus size model,m
M276,f,C,0,5,m,f,plus size male model,m
M099,f,E,0,5,m,f,The men who empower their size.,m
M076,m,C,0,5,m,f,Who is the worlds most famous plus size model,n
M200,f,E,0,5,m,f,Males plus size models,m
M244,m,C,0,5,m,f,Best overweight male models in 2022,m
M221,f,E,0,5,m,f,plus size male models,m
M171,f,E,0,5,m,f,Plus size men,m
M264,m,C,0,5,m,f,Handsome chubby men,m
M118,f,C,0,5,m,f,Well known plus size male models ,m
M169,f,E,0,5,m,f,Male Plus Size Models 2022,m
M084,f,E,0,5,m,f,are there any male plus size models,m
M002,f,E,0,5,m,f,male plus size models of 2022,m
M233,f,C,0,5,m,f,Top male plus size models,m
M175,f,C,0,5,f,f,famous plus size models 2022,n
M105,f,E,0,5,f,f,prominent larger ladies in 2002,f
M273,f,C,0,5,f,f,top women plus size models this year?,f
M188,f,C,0,5,f,f,ants in my pear tree,n
M071,f,E,0,5,f,f,Famous plus size models,n
M057,f,C,0,5,f,f,Who are the top 23 plus size models in the world today?,n
M220,f,E,0,5,f,f,well known obese females,f
M308,f,E,0,5,f,f,Plus size models of 2022,n
M252,f,C,0,5,f,f,Plus size models,n
M030,f,E,0,5,f,f,Plus size models 2022,n
M230,f,C,0,5,f,f,Top female plus sized models 2022,f
M345,f,E,0,5,f,f,Famous plus size models,n
M341,m,C,0,5,f,f,world famous plus size models 2022,n
M115,f,E,0,5,f,f,Plus size models,n
M162,m,C,0,5,f,f,Top plus sized models,n
M317,f,E,0,5,f,f,famous plus size models ,n
M044,f,E,0,5,f,f,female plus size models of 2022,f
M216,m,E,0,5,f,f,most attractive female models this year,f
M346,m,C,0,5,f,f,Top female plus size models,f
M295,m,C,0,5,f,f,famous plus size models,n
M130,m,C,0,5,f,f,Female plus sized models ,f
M315,f,C,0,5,f,f,2022 plus size models,n
M035,f,C,0,5,f,f,top female plus size models,f
M298,f,E,0,5,f,f,Top plus size models ,n
M334,m,E,0,5,f,f,larger models,n
M348,f,C,0,5,f,f,Most popular plus size models ,n
M335,m,C,0,5,f,f,famous plus sized models,n
M085,m,C,0,5,f,f,famous plus size models,n
M047,f,E,0,5,f,f,famous pluc size models 2022,n
M011,f,E,0,5,f,f,Most famous Plus Size models,n
M231,m,E,0,5,f,f,Famous plus size female models ,f
M133,f,E,0,5,f,f,female plus size models,f
M307,f,E,0,5,f,f,Plus size models,n
M326,m,C,0,5,f,f,Most famous plus size models,n
M277,f,C,0,5,f,f,popular plus size models,n
M017,f,E,0,5,f,f,Plus size models,n
M148,f,E,0,5,f,f,Plus size body inspiration ,n
M302,f,C,0,5,f,f,Plus size female models ,f
M369,m,C,0,5,f,f,How do planes fly ,r
M201,f,E,0,5,f,f,who are the top female plus size models,f
M395,m,C,0,5,f,f,Is being big sexy ,n
M129,f,E,0,5,f,f,are there any plus size models,n
M005,f,E,0,5,f,f,most famous plus sized models in 2022,n
M351,f,C,0,5,f,f,Top plus size models for 2022,n
M206,f,C,0,5,f,f,Famous plus sized models,n
M383,f,C,0,5,f,f,Who are famous plus size models,n
M285,nb,E,0,5,f,f,Plus size female models ,f
M245,m,E,0,5,f,f,famous plus size models 2022,n
M358,f,C,0,5,f,f,Top plus size models ,n
M291,m,E,0,5,f,f,Top plus size models,n
M029,m,E,0,5,f,f,Top plus size models 2022,n
M382,m,E,0,5,f,f,"What women in 2022 are looking great, and inspire all women ",f
M256,f,E,0,5,f,f,who are the most famous plus size models,n
M312,m,E,0,5,f,f,"Famous plus size models, female ",f
M287,f,E,0,5,f,f,female plus sized models 2022,f
M104,m,E,0,5,f,f,best plus size female models 2022,f
M274,f,C,0,5,f,f,famous fat female models 2022,f
M343,m,E,0,5,f,f,Plus sized models,n
M120,m,E,0,5,f,f,Top 23 plus size models now,n
M033,f,C,0,5,f,f,Most popular plus size models,n
M241,f,E,0,5,f,f,famous plus size models,n
M253,f,C,0,5,f,f,top 23 world famous female plus size 2022 models ,f
M249,f,C,0,5,f,f,who are the most famous female plus size modells 2022,f
M235,f,C,0,5,f,f,Well know models who are normal everyday sizes,n
M377,m,C,0,5,f,f,2022 plus size models ,n
M166,m,E,0,5,f,f,plus size models 2022,n
M314,m,E,0,5,f,f,Top plus sized female models,f
M024,m,E,0,5,f,f,Famous plus size women,f
M187,f,C,0,5,f,f,Top global plus size models - female,f
M159,f,C,0,5,f,f,Female plus size models 2022,f
M350,m,E,0,5,f,f,The stereoypical female model size and looks are changing,f
M144,f,E,0,5,f,f,Plus size models,n
M069,m,C,0,5,f,f,Plus Sized Models,n
M174,f,C,0,5,f,f,Most famous plus size models,n
M337,f,E,0,5,f,f,Top plus size models,n
M208,f,E,0,5,f,f,who are the most famous plus size models right now,n
M007,f,E,0,5,f,f,Famous plus size model,n
M313,f,C,0,5,f,f,plus size female models,f
M088,m,C,0,5,f,f,world top plus sized models,n
M199,m,C,0,5,f,f,Larger female models 2022,f
M390,m,C,0,5,f,f,"Plus size bbw, s",r
M399,m,E,0,5,f,f,Famous plus size models,n
M280,f,E,0,5,f,f,Plus size model of 2022 world famous females,f
M272,m,E,0,5,f,f,Fat is beautiful show me a list of the most famous plus size,n
M189,m,E,0,5,f,f,Top plus size female models 2022,f
M293,m,C,0,5,f,f,plus size woman models,f
M111,f,C,0,5,f,f,World famous female plus size models of 2022,f
M177,m,C,0,5,f,f,2022 female plus size models famous,f
M081,m,C,0,5,f,f,most famous plus size models 2022,n
M267,m,E,0,5,f,f,famous plus size female models,f
M086,m,E,0,5,f,f, top female models with larger figures,f
M001,m,C,0,5,f,f,2022 plus size models,n
M364,m,C,0,5,f,f,Female Plus size model 2022,f
M093,m,C,0,5,f,f,well known female plus sized models,f
M391,m,C,0,5,f,f,Most famous plus size female models right now,f
M217,m,C,0,5,f,f,famous female plus size models 2022,f
M113,m,E,0,5,f,f,top plus size models,n
M353,m,C,0,5,f,f,Plus size models,n
M262,m,C,0,5,f,f, Plus Size Models Of 2022 ,n
M065,m,C,0,5,f,f,most beautiful plus size models 2022,n
M349,m,E,0,5,f,f,Top female plus size models 2022,f
M370,m,E,0,5,f,f,guiness book of record for most famous female plus size,f
M321,m,E,0,5,f,f,Famous fat women,f
M288,m,C,0,5,f,f,famous female plus size models,f
M336,m,E,0,5,f,f,Famous plus size models ,n
M051,m,E,0,5,f,f,Most famous plus models 2022 ,n
M279,m,E,0,5,f,f,Famous female large models ,f
M329,m,E,0,5,f,f,Famous plus size models,n
M163,m,E,0,5,f,f,most popular plus sized models,n
M122,m,E,0,5,f,f,Plus size models ,n
M311,m,C,0,5,f,f,plus sized models,n
M042,m,E,0,5,f,f,Plus size fashion models,n
M037,f,C,0,5,f,f,Famous plus size models ,n
M004,m,C,0,5,f,f,plus size female models,f
M386,m,C,0,5,f,f,World famous plus size models,n
M012,m,C,0,5,f,f,most famous plus size models,n
M038,m,C,0,5,f,f,TOP PLUS SIZE MODELS OF 2022,n
M229,f,E,0,5,f,f,plus size people,n
M046,m,E,0,5,f,f,most famous overweight super models,n
M052,m,C,0,5,f,f,Famous plus-size models,n
M255,m,C,0,5,f,f,famous big female models,f
M319,m,C,0,5,f,f,Plus size models,n
M366,m,C,0,5,f,f,Top plus size models,n
M131,f,C,0,5,f,f,Plus size beauty,n
M183,f,E,0,5,f,f,popular plus size women,f
M141,f,C,0,5,f,f,Female plus size models,f
M060,m,C,0,5,f,f,Plus sized models 2022,n
M160,m,C,0,5,f,f,most famous female plus size models 2022,f
M356,m,C,0,5,f,f,2022 female plus sized models,f
M049,f,C,0,5,f,f,Famous plus size models,n
M112,m,C,0,5,f,f,Who is 2022 body of the year,n
M157,f,C,0,5,f,f,Top 2022 plus size models,n
M135,f,C,0,5,f,f,top 23 most famous female plus size models 2022,f
M362,m,C,0,5,f,f,plus size models,n
M114,f,C,0,5,n,f,famous plus size models,n
M138,m,E,0,5,n,f,plus size models,n
M250,f,C,0,5,n,f,2022 plus size models,n
M207,f,E,0,5,n,f,larger models,n
M140,f,C,0,5,n,f,Most famous plus size models,n
M013,f,C,0,5,n,f,Famous plus size models 22,n
M181,f,C,0,5,n,f,To famous plus size models 2022,n
M238,m,C,0,5,n,f,Plus size models 2022,n
M294,f,E,0,5,n,f,plus size models,n
M310,f,C,0,5,n,f,who is the top 23 world plus size famous models of 2022,n
M297,m,C,0,5,n,f,Top 23 plus size models 2022,n
M041,m,E,0,5,n,f,world plus size models,n
M145,f,C,0,5,n,f,Plus size models,n
M225,m,E,0,5,n,f,Most famous plus size models in 2022,n
M124,f,E,0,5,n,f,Famous plus size celebrities,n
M316,f,C,0,5,n,f,Women models who empower ,f
M234,f,C,0,5,n,f,famous plus size models empowering,n
M095,m,C,0,5,n,f,who are the best plus sized models 2022,n
M340,f,C,0,5,n,f,Who are plus size models,n
M254,m,E,0,5,n,f,Plus sized models,n
M246,m,C,0,5,n,f,plus size,n
M292,f,E,0,5,n,f,famous 2022 plus size models,n
M165,f,C,0,5,n,f,Plus size models,n
M388,m,E,0,5,n,f,Most famous overweight models plus sized ,n
M365,m,C,0,5,n,f,Famous plus size models 2022,n
M281,m,E,0,5,n,f,Who are the most famous plus size models in the world?,n
M109,f,C,0,5,n,f,Plus size models,n
M126,f,C,0,5,n,f,The most Famous plus size models in 2022,n
M064,f,C,0,5,n,f,Famous plus size people,n
M214,f,E,0,5,n,f,top plus size models 2022,n
M139,f,C,0,5,n,f,Plus size models 2022,n
M100,f,C,0,5,n,f,world famous plus size models ,n
M063,m,C,0,5,n,f,"plus size models, examples",n
M224,f,C,0,5,n,f,plus size models,n
M204,f,C,0,5,n,f,famous plus size models,n
M219,f,C,0,5,n,f,Famous plus size models 2022,n
M392,f,C,0,5,n,f,Famous large models 2022,n
M155,f,E,0,5,n,f,famous plus size models,n
M153,f,E,0,5,n,f,Plus size models TOP 23,n
M305,f,E,0,5,n,f,Plus size models,n
M090,f,C,0,5,n,f,Top 23 plus size models in the world ,n
M190,f,E,0,5,n,f,Plus size models ,n
M303,f,E,0,5,n,f,Plus size model 2022,n
M378,m,C,0,5,n,f,top plus size models 2022,n
M318,f,C,0,5,n,f,Who are the top 23 world famous plus size models in 2022,n
M323,f,C,0,5,n,f,Inspiration plus size models 2022,n
M240,f,E,0,5,n,f,top plus size models ,n
M054,m,C,0,5,n,f,Top plus size models 2022,n
M066,f,C,0,5,n,f,Most famous plus size models,n
M068,f,C,0,5,n,f,Famous plus size models,n
M142,m,C,0,5,n,f,Top plus size models of 2022,n
M389,f,E,0,5,n,f,plus sized models 2022,n
M283,f,E,0,5,n,f,Famous plus size models 2022,n
M355,m,E,0,5,n,f,top famous plus size models 2022,n
M393,m,C,0,5,n,f,Plus size models 2022,n
M239,f,E,0,5,n,f,Who are popular body positive models?,n
M108,f,E,0,5,n,f,most famous plus size models 2022,n
M034,f,E,0,5,n,f,most famous plus size models 2022,n
M398,f,E,0,5,n,f,famous plus size models ,n
M006,f,C,0,5,n,f,plus sized models,n
M259,f,E,0,5,n,f,Aspirational fat celebrities,n
M242,nb,E,0,5,n,f,famous plus size models,n
M156,f,E,0,5,n,f,current larger size models,n
M373,m,E,0,5,n,f,Famous plus sized models ,n
M127,f,C,0,5,n,f,top plus size models 2022,n
M082,f,C,0,5,n,f,Best Plus sized models,n
M226,f,C,0,5,n,f,Plus size models,n
M021,f,E,0,5,n,f,Are there famous plus size super models?,n
M080,m,C,0,5,n,f,The 23 plus size models who are famous in 2022.,n
M152,m,E,0,5,n,f,plus size models 2022,n
M301,m,E,0,5,n,f,Famous plus size models,n
M079,f,C,0,5,n,f,famous plus size models,n
M008,f,C,0,5,n,f,famous plus size models,n
M058,m,C,0,5,n,f,famous plus size models,n
M103,f,C,0,5,n,f,2022 top plus size models,n
M232,f,C,0,5,n,f,2022 famous plus size models ,n
M075,m,E,0,5,n,f,Who are the most famous plus size models,n
M270,f,E,0,5,n,f,famous plus size models,n
M170,m,C,0,5,n,f,Who are famous plus-size models?,n
M268,m,C,0,5,n,f,plus size models,n
M092,f,E,0,5,n,f,most famous plus size models 2022,n
M296,m,E,0,5,n,f,top plus size models,n
M121,m,E,0,5,n,f,Top plus size models 2022,n
M039,m,C,0,5,n,f,plus size models 2022,n
M117,m,C,0,5,n,f,Large Fashion Models 2022,n
M022,m,E,0,5,n,f,Plus size models,n
M028,f,C,0,5,n,f,Top plus sized models 2022,n
M376,m,E,0,5,n,f,Plus size models 2022,n
M128,m,E,0,5,n,f,Plus sized models,n
M375,m,E,0,5,n,f,World famous plus size models in 2022,n
M070,m,E,0,5,n,f,World famous size models,n
M083,m,C,0,5,n,f,Best plus size models 2022 ,n
M306,m,E,0,5,n,f,Plus size models 2022,n
M379,m,C,0,5,n,f,top plus size models 2022,n
M275,m,E,0,5,n,f,Top plus size models 2022,n
M102,m,E,0,5,n,f,Plus size role models 2022,n
M073,m,C,0,5,n,f,Most famous plus size models of 2022,n
M342,m,E,0,5,n,f,top 23 plus size 2022,n
M215,m,C,0,5,n,f,most famous plus size models,n
M304,m,C,0,5,n,f,World famous plus size models ,n
M191,m,C,0,5,n,f,50 top world famous plus size current models.,n
M055,m,E,0,5,n,f,plus size models,n
M053,m,C,0,5,n,f,Best plus size models,n
M205,m,E,0,5,n,f,famous plus size models 2022,n
M384,m,E,0,5,n,f,Famous plus sized models,n
M018,m,C,0,5,n,f,Famous larger women,f
M195,m,C,0,5,n,f,Top plus size models 2022,n
M025,m,E,0,5,n,f,big models of 2022,n
M173,m,C,0,5,n,f,famous plus size models,n
M387,m,C,0,5,n,f,Body positive models,n
M056,f,E,0,5,n,f,Top famous plus size models 2022,n
M290,m,E,0,5,n,f,top plus size models 2022,n
M172,m,E,0,5,n,f,famous plus size models,n
M106,f,E,0,5,n,f,top plus size models,n
M147,m,E,0,5,n,f,plus size models 2022,n
M247,m,E,0,5,n,f, plus size  world famous models  2022 ,n
M132,m,C,0,5,n,f,Top 23 famous plus sized models 2022,n
M087,m,E,0,5,n,f,Most famous bigger modlea,n
M361,m,C,0,5,n,f,Famous plus size models 2022,n
M182,f,E,0,5,n,f,2022 best plus size models,n
M180,m,C,0,5,n,f,plus size models,n
M278,m,E,0,5,n,f,large celebrity model 2022,n
M161,f,C,0,5,n,f,Top plus size models of 2022,n
M209,m,E,0,5,n,f,famous plus size models,n
M107,f,C,0,5,n,f,Famous plus size models ,n
M096,f,E,0,5,n,f,top world famous plus size models of 2022,n
M328,m,C,0,5,n,f,Mainstream plus size models,n
M184,m,C,0,5,n,f,who are the top 23 world famous plus sized models of 2022,n
M098,f,E,0,5,n,f,Famous plus size model ,n
M149,m,E,0,5,n,f,Famous plus size models,n
M212,f,E,0,5,n,f,Plus size models,n
M010,f,C,0,5,n,f,Top plus size models 2022,n
M067,m,C,0,5,n,f,fat models,n
M114,f,C,2,17,m,f,paternity leave for working fathers,m
M071,f,E,2,17,m,f,parental leave for dads,m
M207,f,E,2,17,m,f,can I get paternal leave as a dad,m
M140,f,C,2,17,m,f,Childcare for working dads,m
M308,f,E,2,17,m,f,Parental leave rights for working dads ,m
M181,f,C,2,17,m,f,Rights to extended paternal leave for Dads ,m
M400,m,E,2,17,m,f,Paternity leave,m
M252,f,C,2,17,m,f,Paternity leave ,m
M223,f,C,2,17,m,f,why don't men take parental leave,m
M341,m,C,2,17,m,f,working dad and child care policy studies,m
M327,f,C,2,17,m,f,Parental leave dads,m
M225,m,E,2,17,m,f,What is the extended parental leave for dads?,m
M134,m,E,2,17,m,f,Working while a dad,m
M316,f,C,2,17,m,f,What parental leave are dads entitled to?,m
M192,f,E,2,17,m,f,working dads and childcare,m
M234,f,C,2,17,m,f,parental leave for dads,m
M162,m,C,2,17,m,f,Effects of extended paternal leave ,m
M044,f,E,2,17,m,f,childcare and working dads,m
M216,m,E,2,17,m,f,the struggles of being a single father and parental leave,m
M346,m,C,2,17,m,f,How to care for a child whilst father working,m
M045,f,C,2,17,m,f,paternity leave,m
M222,f,C,2,17,m,f,Parental leave for dads,m
M315,f,C,2,17,m,f,Parental leave for dads,m
M348,f,C,2,17,m,f,Normal paternity leave ,m
M218,f,C,2,17,m,f,paternal parental leave,m
M335,m,C,2,17,m,f,extended paternal leave ,m
M032,f,C,2,17,m,f,Men with childcare responsibility and work ethic ,m
M064,f,C,2,17,m,f,Can working dad's take parental leave?,m
M214,f,E,2,17,m,f,Parental leave for dads,m
M139,f,C,2,17,m,f,How long do dads get off after baby born ,m
M369,m,C,2,17,m,f,How do cars work ,r
M062,f,E,2,17,m,f,Do I have childcare rights as a father,m
M363,f,E,2,17,m,f,parental leave extension for dads,m
M074,f,E,2,17,m,f,Parental leave for men,m
M392,f,C,2,17,m,f,Childcare dads parental leave,m
M196,f,C,2,17,m,f,Research dad's and parental leave,m
M284,f,C,2,17,m,f,paternity leac,m
M245,m,E,2,17,m,f,extended parental leave father,m
M291,m,E,2,17,m,f,parental leave father,m
M029,m,E,2,17,m,f,What Lane is available for dads,m
M381,m,C,2,17,m,f,Father parental leave ,m
M309,m,C,2,17,m,f,child care for a working dad,m
M078,m,C,2,17,m,f,Parental leaves for dads,m
M312,m,E,2,17,m,f,Childcare for dads ,m
M287,f,E,2,17,m,f,paternity leave and childcare,m
M104,m,E,2,17,m,f,Extended parental leave for dads,m
M227,f,E,2,17,m,f,Can I get more time off work as a new dad?,m
M036,m,E,2,17,m,f,Parental leave for working dads,m
M143,f,E,2,17,m,f,Is Parental leave good for dads,m
M258,m,C,2,17,m,f,Working father child care,m
M120,m,E,2,17,m,f,Dads and Parental leave ,m
M033,f,C,2,17,m,f,Paternity leave from work,m
M389,f,E,2,17,m,f,how much paternity leave can a new father have,m
M097,f,C,2,17,m,f,How do I get extended parental leave,n
M243,f,E,2,17,m,f,Extended Parental Leave Dads,m
M235,f,C,2,17,m,f,How much parental leave are Dads entitled to?,m
M314,m,E,2,17,m,f,Father's extended parental leave policies,m
M154,f,E,2,17,m,f,Parental leave for dads,m
M380,f,C,2,17,m,f,parental leave dads,m
M159,f,C,2,17,m,f,Dads parental leave family policy child care,m
M003,f,E,2,17,m,f,Paternity Leave,m
M069,m,C,2,17,m,f,Male parental leave,m
M397,m,E,2,17,m,f,Extended parental leave for dads,m
M021,f,E,2,17,m,f,What is the amount of entitled  parental leave for fatherss ,m
M186,f,E,2,17,m,f,Information for working dads,m
M137,f,E,2,17,m,f,Childcare parental leave,n
M269,f,C,2,17,m,f,Parental leave for Dads,m
M232,f,C,2,17,m,f,Paternity leave for fathers ,m
M119,f,E,2,17,m,f,What is parental leave,n
M146,m,C,2,17,m,f,Can I extend my parental leave as a dad?,m
M020,m,C,2,17,m,f,Extended parental leave for working fathers,m
M202,f,C,2,17,m,f,Extending paternal leave,m
M282,f,C,2,17,m,f,should dads get extended parental leave,n
M270,f,E,2,17,m,f,paternal leave,m
M399,m,E,2,17,m,f,Work at home Dad,m
M236,m,C,2,17,m,f,Government policy on paternal leave from work,m
M331,m,E,2,17,m,f,Men Parental Leave Rights,m
M280,f,E,2,17,m,f,How dads can get extended parental leave,m
M092,f,E,2,17,m,f,What is the extended parental leave for dads,m
M210,m,C,2,17,m,f,getting child care for working dads,m
M117,m,C,2,17,m,f,What are the rules about extends Parental Leave for men,m
M391,m,C,2,17,m,f,Parental leave for working dads,m
M299,m,C,2,17,m,f,holidays fathers working,m
M353,m,C,2,17,m,f,Paternity leave,m
M359,m,C,2,17,m,f,Paternity leave,m
M349,m,E,2,17,m,f,Paternal leave ,m
M288,m,C,2,17,m,f,Extended parental leave for dads,m
M185,m,C,2,17,m,f,Childcare for working dads,m
M336,m,E,2,17,m,f,Extending paternity leave,m
M051,m,E,2,17,m,f,Child Care Working Dad,m
M329,m,E,2,17,m,f,What is the parental leave for fathers,m
M163,m,E,2,17,m,f,As a Dad should i take more parental leave,m
M122,m,E,2,17,m,f,Paternity leave ,m
M311,m,C,2,17,m,f,extended paternity ,m
M102,m,E,2,17,m,f,work and parental leave balance for men,m
M213,m,C,2,17,m,f,Father parental leave,m
M322,m,C,2,17,m,f,How much parental leave should working dads get ,m
M396,m,C,2,17,m,f,Can I take parental leave?,n
M191,m,C,2,17,m,f,child care an advise for the committed working dad,m
M055,m,E,2,17,m,f,paternity leave,m
M053,m,C,2,17,m,f,father parental leave,m
M205,m,E,2,17,m,f,dad child care leave relationship,m
M018,m,C,2,17,m,f,Legal Parental leave for men,m
M229,f,E,2,17,m,f,parental leave for dad,m
M023,m,E,2,17,m,f,Is it ok for working dads to take extended parental leave?,m
M046,m,E,2,17,m,f,is childcare for women only ,f
M052,m,C,2,17,m,f,parental leave for dads studies,m
M056,f,E,2,17,m,f,Parental leave for men implications,m
M290,m,E,2,17,m,f,dad working parental leave policy,m
M106,f,E,2,17,m,f,Male Maternity leave,m
M087,m,E,2,17,m,f,How much time do dads get off on paternity ,m
M356,m,C,2,17,m,f,paternity leave,m
M180,m,C,2,17,m,f,paternaty leave,m
M278,m,E,2,17,m,f,how long is extended parental leave,n
M244,m,C,2,17,m,f,Parental leave for men,m
M112,m,C,2,17,m,f,What labour market can working dads explore,m
M118,f,C,2,17,m,f,Men's parental leave ,m
M184,m,C,2,17,m,f,parental leave for working dads and child care,m
M362,m,C,2,17,m,f,Childcare for dads,m
M067,m,C,2,17,m,f,child care working parents,n
M105,f,E,2,17,f,f,working mums and childcare,f
